orig_result,0_area,0_result,0_score,1_area,1_result,1_score,2_area,2_result,2_score,3_area,3_result,3_score,4_area,4_result,4_score,5_area,5_result,5_score,6_area,6_result,6_score,7_area,7_result,7_score,8_area,8_result,8_score,9_area,9_result,9_score
1.0,29,1,39968,32,1,50021,22,1,36141,32,1,52461,24,1,35270,32,1,57150,23,1,33100,32,1,59497,0,0,0,0,0,0
1.0,22,1,30438,26,1,42091,9,1,24844,26,1,42971,8,1,21241,26,1,44824,7,1,19338,26,1,47444,0,0,0,0,0,0
1.0,29,1,45810,34,1,52601,13,1,35314,34,1,53529,13,1,30933,29,1,51436,16,1,25588,34,1,58882,0,0,0,0,0,0
1.0,2,1,11523,2,1,12781,-1,1,6376,2,1,12781,-2,1,4035,2,1,12781,-3,1,3985,10,1,12890,0,0,0,0,0,0
1.0,4,1,6870,19,1,10910,-15,0,3217,19,1,10910,-19,0,4344,19,1,11802,-19,0,4344,74,1,116099,0,0,0,0,0,0
0.0,-39,0,35548,-28,0,23995,-39,0,36589,-27,0,20674,-39,0,37438,-26,0,19854,-39,0,40515,-25,0,18142,0,0,0,0,0,0
0.0,-66,0,82747,-48,0,61040,-49,0,67894,-51,0,49378,-52,0,60192,-47,0,41403,-52,0,60576,-48,0,35770,0,0,0,0,0,0
1.0,-1,1,2931,4,1,7753,-4,1,2187,1,1,9511,-8,1,1614,-3,1,12158,-5,1,-305,6,1,15081,0,0,0,0,0,0
1.0,29,1,47728,36,1,52059,26,1,40017,29,1,53318,22,1,34239,36,1,58874,28,1,30478,36,1,61455,0,0,0,0,0,0
0.0,-20,0,3778,-20,0,2701,-23,0,5593,-20,0,1809,-6,0,6956,-19,0,2039,-9,0,9287,-19,0,2039,0,0,0,0,0,0
1.0,33,1,62079,39,1,71312,37,1,53579,39,1,70318,34,1,45949,44,1,80058,35,1,40457,44,1,87236,0,0,0,0,0,0
1.0,21,1,15279,22,1,18432,20,1,14390,33,1,44428,19,1,13431,32,1,43403,18,1,12079,56,1,66405,0,0,0,0,0,0
0.0,-15,0,10086,-15,0,8008,-15,0,11427,-1,0,8394,-4,0,13250,-2,0,7739,-10,0,15116,-8,0,7389,0,0,0,0,0,0
0.0,-39,0,41147,-32,0,28730,-43,0,53987,-32,0,22965,-43,0,50056,-32,0,19482,-47,0,68524,-32,0,19482,0,0,0,0,0,0
1.0,28,1,21763,19,1,24257,13,1,16048,19,1,25485,23,1,14314,23,1,36294,22,1,10002,23,1,39986,0,0,0,0,0,0
1.0,6,1,17999,6,1,18953,1,1,15367,6,1,18953,0,1,14235,7,1,18953,-1,1,13216,6,1,18953,0,0,0,0,0,0
0.0,-22,0,39098,-18,0,27291,-22,0,41142,-7,0,21511,-13,0,36038,-7,0,15863,-12,0,38884,-7,0,15789,0,0,0,0,0,0
0.0,-12,0,7956,-11,0,4975,-16,0,12104,4,0,3046,-1,0,12437,5,0,1207,-26,0,15139,5,0,342,0,0,0,0,0,0
1.0,7,1,17921,8,1,20028,5,1,15076,8,1,20028,4,1,12465,10,1,22226,6,1,14763,10,1,23538,0,0,0,0,0,0
0.0,-6,0,6173,-2,0,1187,-6,0,6980,4,0,-1570,-7,0,7517,1,1,987,-7,0,7517,1,1,987,0,0,0,0,0,0
1.0,41,1,83233,48,1,91845,43,1,73703,50,1,89204,43,1,69750,54,1,97210,42,1,64252,56,1,94100,0,0,0,0,0,0
0.0,-19,0,38192,-15,0,25900,-24,0,45084,-13,0,18665,-24,0,45084,-16,0,14691,-24,0,49147,-12,0,13363,0,0,0,0,0,0
0.0,-40,0,20482,-34,0,13074,-36,0,18493,-34,0,11673,-40,0,25470,-33,0,10675,-40,0,28293,-32,0,10361,0,0,0,0,0,0
0.0,-7,0,1735,-4,0,746,-12,0,4331,-6,0,746,-13,0,5117,-8,0,785,-16,0,5938,-10,0,1571,0,0,0,0,0,0
0.0,-28,0,36031,-20,0,26711,-20,0,30386,-19,0,21535,-22,0,30340,-18,0,17964,-28,0,43094,-17,0,14682,0,0,0,0,0,0
1.0,64,1,108634,68,1,120392,64,1,115215,74,1,132686,64,1,112646,74,1,138079,58,1,99676,74,1,142958,0,0,0,0,0,0
1.0,-14,1,7468,-11,1,10859,-12,1,4315,-9,1,8571,-10,1,2051,-9,1,7065,-10,0,512,-7,1,6070,0,0,0,0,0,0
1.0,-4,1,8401,-4,1,12023,-4,1,5318,0,1,12962,6,1,3888,11,1,14665,2,1,2089,11,1,15406,0,0,0,0,0,0
1.0,6,1,3549,6,1,5417,5,1,3940,9,1,5586,7,1,3892,11,1,6468,7,1,3673,18,1,7495,0,0,0,0,0,0
0.0,-4,0,10525,1,0,8333,-4,0,10950,1,0,7449,-9,0,12244,1,0,7449,-9,0,13076,5,0,5628,0,0,0,0,0,0
1.0,-2,1,5465,-2,1,6424,-2,1,5465,-2,1,7326,-3,1,5465,-2,1,8121,-3,1,5465,0,1,8155,0,0,0,0,0,0
0.0,-3,0,1000,-2,1,1810,-2,0,3416,-1,1,3534,-4,0,4664,-3,1,4595,-4,0,5461,-2,1,6521,0,0,0,0,0,0
0.0,-38,0,37739,-35,0,24359,-30,0,37246,-32,0,23546,-30,0,37246,-27,0,22739,-29,0,36374,-26,0,22024,0,0,0,0,0,0
1.0,3,1,15343,6,1,23071,-2,1,11060,6,1,24085,-3,1,9687,6,1,24440,-3,1,9687,6,1,25454,0,0,0,0,0,0
0.0,-30,0,24812,-29,0,18464,-36,0,40907,-22,0,14486,-36,0,43794,-21,0,11955,-36,0,45307,-22,0,12794,0,0,0,0,0,0
0.0,-11,0,25645,-8,0,17862,-11,0,26897,-6,0,14826,-18,0,29621,-8,0,14372,-18,0,29621,-10,0,14372,0,0,0,0,0,0
